C,T,S,F1,Recall,Precision,MCC
C6,30min,B,0.96772798,0.967694567,0.968116611,0.967694567
C7,30min,B,0.609645699,0.634361233,0.631035344,0.634361233
C8,30min,B,0.964799834,0.964757709,0.964913161,0.964757709
C9,30min,B,0.924030405,0.923641703,0.925494869,0.923641703
C1,2min,C,0.916686703,0.942273535,0.945614782,0.942273535
C2,2min,C,0.935475583,0.946714032,0.932952268,0.946714032
C3,2min,C,0.975039144,0.975133215,0.976785314,0.975133215
C4,2min,C,0.402377255,0.277087034,0.900811727,0.277087034
C5,2min,C,0.946102005,0.955595027,0.949951568,0.955595027
C6,2min,C,0.98482029,0.985790409,0.986002097,0.985790409
C7,2min,C,0.917961841,0.939609236,0.916762161,0.939609236
C8,2min,C,0.98482029,0.985790409,0.986002097,0.985790409
C9,2min,C,0.982220454,0.98312611,0.982598945,0.98312611
C1,5min,C,0.837597043,0.88277087,0.838571445,0.88277087
C2,5min,C,0.904030696,0.915630551,0.902782712,0.915630551
C3,5min,C,0.961868694,0.962699822,0.961554298,0.962699822
C4,5min,C,0.483942198,0.357015986,0.871334924,0.357015986
C5,5min,C,0.921244091,0.928952043,0.922130091,0.928952043
C6,5min,C,0.975661319,0.976909414,0.977497997,0.976909414
C7,5min,C,0.845529922,0.888099467,0.858322022,0.888099467
C8,5min,C,0.975661319,0.976909414,0.977497997,0.976909414
C9,5min,C,0.97109765,0.971580817,0.970901762,0.971580817
C1,10min,C,0.76270336,0.815275311,0.773600192,0.815275311
C2,10min,C,0.881446187,0.890763766,0.880699387,0.890763766
C3,10min,C,0.952207363,0.952042629,0.952791891,0.952042629
C4,10min,C,0.486285174,0.369449378,0.79575495,0.369449378
C5,10min,C,0.887397907,0.897868561,0.891676061,0.897868561
C6,10min,C,0.972239026,0.973357016,0.973633249,0.973357016
C7,10min,C,0.806775794,0.836589698,0.819666097,0.836589698
C8,10min,C,0.970607618,0.971580817,0.971602062,0.971580817
C9,10min,C,0.955120094,0.954706927,0.95564805,0.954706927
C1,15min,C,0.737626177,0.775310835,0.757077321,0.775310835
C2,15min,C,0.865527848,0.872113677,0.862179338,0.872113677
C3,15min,C,0.944552709,0.944937833,0.944353325,0.944937833
C4,15min,C,0.614026349,0.559502664,0.714770928,0.559502664
C5,15min,C,0.871916764,0.880106572,0.8768714,0.880106572
C6,15min,C,0.963408054,0.964476021,0.964839428,0.964476021
C7,15min,C,0.767949661,0.786856128,0.770163755,0.786856128
C8,15min,C,0.970725528,0.971580817,0.971779317,0.971580817
C9,15min,C,0.955375995,0.955595027,0.95519938,0.955595027
C1,30min,C,0.686358782,0.69982238,0.707264468,0.69982238
C2,30min,C,0.819855073,0.825044405,0.818272971,0.825044405
C3,30min,C,0.946231519,0.946714032,0.946711123,0.946714032
C4,30min,C,0.512544593,0.555950266,0.638548031,0.555950266
C5,30min,C,0.828717467,0.832149201,0.832166808,0.832149201
C6,30min,C,0.958434435,0.959147425,0.959712072,0.959147425
C7,30min,C,0.676875096,0.682060391,0.683178042,0.682060391
C8,30min,C,0.963776348,0.964476021,0.965069539,0.964476021
C9,30min,C,0.950609695,0.951154529,0.950967199,0.951154529
